epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.585,0,108.452,0,0,0,0,0,0,134.71,0,0.0001,0.0001,0.0001
2,185.934,0,104.415,0,0,0,0,0,0,134.735,0,0.000215644,0.000215644,0.000215644
3,258.019,0,97.9493,0,0,0,0,0,0,134.686,0,0.000326536,0.000326536,0.000326536
4,327.162,0,89.9564,0,0,0,0,0,0,131.631,0,0.000432676,0.000432676,0.000432676
5,451.307,0,82.5094,0,0,0,0,0,0,125.045,0,0.000534064,0.000534064,0.000534064
6,520.598,0,75.882,0,0,0,0,0,0,116.895,0,0.0006307,0.0006307,0.0006307
7,616.617,0,72.4856,0,0,0,0,0,0,112.31,0,0.000722584,0.000722584,0.000722584
8,685.681,0,69.3494,0,0,0,0,0,0,111.359,0,0.000809716,0.000809716,0.000809716
9,755.616,0,65.8323,0,0,0,0,0,0,93.8058,0,0.000892096,0.000892096,0.000892096
10,832.614,0,64.0648,0,0,0,0,0,0,86.8677,0,0.000969724,0.000969724,0.000969724
11,925.857,0,61.9292,0,0,0,0,0,0,191.747,0,0.0010426,0.0010426,0.0010426
12,1023.28,0,59.5625,0,0,0,0,0,0,68.7776,0,0.00111072,0.00111072,0.00111072
13,1104.33,0,57.843,0,0,0,0,0,0,69.1097,0,0.0011741,0.0011741,0.0011741
14,1215.17,0,55.2095,0,0,0,0,0,0,64.7606,0,0.00123272,0.00123272,0.00123272
15,1293.25,0,53.5573,0,0,0,0,0,0,60.6649,0,0.00128658,0.00128658,0.00128658
16,1355.31,0,51.9004,0,0,0,0,0,0,54.7353,0,0.0013357,0.0013357,0.0013357
